City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
436,sabana de torres,100,CO,1600053935,86,7.39,-73.5,77.9,3.76
437,saint-pierre,75,RE,1600053935,93,-21.34,55.48,64.4,21.92
438,cuenca,67,EC,1600053898,67,-2.88,-78.98,57.2,2.24
439,kirakira,41,SB,1600053936,71,-10.45,161.92,84.38,8.46
440,egvekinot,100,RU,1600053936,92,66.32,-179.17,38.95,11.12
441,uige,6,AO,1600053936,85,-7.61,15.06,64.76,2.98
442,haines junction,1,CA,1600053936,63,60.75,-137.51,42.3,2.8
443,zella-mehlis,30,DE,1600053936,82,50.65,10.65,64.0,9.17
444,sibolga,81,ID,1600053937,58,1.74,98.78,85.3,3.27
445,baruun-urt,0,MN,1600053937,36,46.68,113.28,57.29,15.5
446,burgeo,99,CA,1600053937,80,47.62,-57.62,57.97,19.06
447,amberley,75,US,1600053937,88,39.2,-84.43,71.01,6.49
448,naryan-mar,100,RU,1600053937,96,67.67,53.09,48.87,10.4
449,garango,20,BF,1600053938,93,11.8,-0.55,73.98,7.34
450,bonavista,65,CA,1600053938,76,48.65,-53.11,55.0,16.33
451,neyvo-shaytanskiy,100,RU,1600053938,81,57.73,61.25,47.52,9.69
452,bandarbeyla,0,SO,1600053938,66,9.49,50.81,80.22,21.94
453,santa lucia,20,ES,1600053938,78,27.91,-15.54,73.4,12.75
454,mangan,99,IN,1600053939,55,27.52,88.53,78.94,1.97
455,julio de castilhos,90,BR,1600053939,93,-29.23,-53.68,66.2,2.24
456,henties bay,0,NA,1600053673,89,-22.12,14.28,52.0,3.0
457,phonhong,75,LA,1600053939,70,18.5,102.42,87.8,2.24
458,richards bay,73,ZA,1600053939,77,-28.78,32.04,68.74,9.46
459,jand,0,PK,1600053940,42,33.43,72.02,87.15,7.83
460,zhoucheng,99,CN,1600053940,75,35.91,116.31,74.37,3.31
